mode,ship_date,ship_date_time,delivery_date,delivery_date_time,hours,ship_from,ship_from_coords,ice_customer_name,ship_to,ship_to_coords,number_of_pallets
LTL,2023-09-28,2023-09-28 14:00:00,2023-10-05,2023-10-05 17:00:00,171,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"New Braunfels, TX","[-98.1148,29.6994]",0.09
LTL,2023-10-02,2023-10-02 15:00:00,2023-10-04,2023-10-04 9:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Oconomowoc, WI","[-88.4948,43.0996]",0.13
PCL,2023-09-20,2023-09-20 17:00:00,2023-09-22,2023-09-22 8:00:00,39,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.01
PCL,2023-10-19,2023-10-19 17:00:00,2023-10-23,2023-10-23 10:00:00,89,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Frostproof, FL","[-81.5252,27.7494]",0
PCL,2023-10-19,2023-10-19 17:00:00,2023-10-20,2023-10-20 7:00:00,14,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Joliet, IL","[-88.1499,41.5188]",0.02
PCL,2023-08-17,2023-08-17 8:00:00,2023-08-22,2023-08-22 7:00:00,119,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Midlothian, TX","[-96.989,32.4669]",0.04
LTL,2023-09-21,2023-09-21 14:00:00,2023-09-26,2023-09-26 8:00:00,114,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",0.05
PCL,2023-07-13,2023-07-13 11:00:00,2023-07-17,2023-07-17 5:00:00,90,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hopkinsville, KY","[-87.4775,36.8381]",0.17
PCL,2023-07-13,2023-07-13 16:00:00,2023-07-17,2023-07-17 11:00:00,91,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.01
PCL,2023-08-15,2023-08-15 15:00:00,2023-08-21,2023-08-21 11:00:00,140,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ft Pierce, FL","[-80.3256, 27.4467]",0.01
PCL,2023-08-16,2023-08-16 16:00:00,2023-08-21,2023-08-21 7:00:00,111,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tifton, GA","[-83.5203,31.4624]",0.01
PCL,2023-09-06,2023-09-06 12:00:00,2023-09-08,2023-09-08 9:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Madison, AL","[-86.7626,34.7114]",0.06
PCL,2023-08-04,2023-08-04 7:00:00,2023-08-08,2023-08-08 10:00:00,99,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Ft Pierce, FL","[-80.3256, 27.4467]",0.03
LTL,2023-08-03,2023-08-03 14:00:00,2023-08-09,2023-08-09 14:00:00,144,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Topeka, KS","[-95.6955,39.0346]",0.27
PCL,2023-08-02,2023-08-02 16:00:00,2023-08-04,2023-08-04 9:00:00,41,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Shelby, NC","[-81.5451,35.2904]",0.01
PCL,2023-10-18,2023-10-18 11:00:00,2023-10-20,2023-10-20 6:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Searcy, AR","[-91.7351,35.2418]",0.13
PCL,2023-09-06,2023-09-06 19:00:00,2023-09-08,2023-09-08 9:00:00,38,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Moreno Valley, CA","[-117.2045,33.9244]",0.04
PCL,2023-10-26,2023-10-26 15:00:00,null,null,#VALUE!,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Buckeye, AZ","[-112.6429,33.4314]",0.16
PCL,2023-08-31,2023-08-31 12:00:00,2023-09-01,2023-09-01 12:00:00,24,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Chicago, IL","[-87.6866,41.8375]",0.03
PCL,2023-10-11,2023-10-11 9:00:00,2023-10-13,2023-10-13 9:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hope Mills, NC","[-78.9597,34.971]",0.01
PCL,2023-09-22,2023-09-22 11:00:00,2023-09-27,2023-09-27 7:00:00,116,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Brookhaven, MS","[-90.4432,31.5803]",0.01
FTL,2023-10-20,2023-10-20 6:00:00,2023-10-23,2023-10-23 8:00:00,74,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Stockton, CA","[-121.3109,37.9765]",0.58
LTL,2023-07-13,2023-07-13 16:00:00,2023-07-17,2023-07-17 7:00:00,87,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Chino, CA","[-117.6654,33.9836]",0.79
PCL,2023-07-21,2023-07-21 12:00:00,2023-07-25,2023-07-25 8:00:00,92,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Loveland, CO","[-105.0623,40.4166]",0.03
PCL,2023-07-20,2023-07-20 13:00:00,2023-07-21,2023-07-21 8:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Coldwater, MI","[-84.9989,41.9465]",0.12
PCL,2023-09-06,2023-09-06 12:00:00,2023-09-08,2023-09-08 10:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.02
PCL,2023-08-16,2023-08-16 13:00:00,2023-08-17,2023-08-17 9:00:00,20,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hope Mills, NC","[-78.9597,34.971]",0.16
PCL,2023-10-25,2023-10-25 18:00:00,2023-10-26,2023-10-26 21:00:00,27,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hopkinsville, KY","[-87.4775,36.8381]",0.01
PCL,2023-08-28,2023-08-28 13:00:00,2023-08-30,2023-08-30 8:00:00,43,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Joliet, IL","[-88.1499,41.5188]",0.13
PCL,2023-08-23,2023-08-23 14:00:00,2023-08-25,2023-08-25 10:00:00,44,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Pueblo, CO","[-104.6114,38.2701]",0.01
LTL,2023-07-25,2023-07-25 13:00:00,2023-07-28,2023-07-28 7:00:00,66,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Westfield, MA","[-72.7561,42.1382]",2.17
LTL,2023-09-08,2023-09-08 11:00:00,2023-09-15,2023-09-15 18:00:00,175,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Dinuba, CA","[-119.3987,36.5453]",0.3
PCL,2023-09-01,2023-09-01 15:00:00,2023-09-06,2023-09-06 9:00:00,114,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Madison, AL","[-86.7626,34.7114]",0.02
FTL,2023-08-11,2023-08-11 11:00:00,2023-08-12,2023-08-12 14:00:00,27,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Phoenix, AZ","[-112.0892,33.5722]",1.19
LTL,2023-07-05,2023-07-05 11:00:00,2023-07-07,2023-07-07 7:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Watsco (Baker-Florida Cooling Supply),"Durham, NC","[-78.9022,35.9792]",0.14
PCL,2023-07-19,2023-07-19 14:00:00,2023-07-24,2023-07-24 11:00:00,117,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Perris, CA","[-117.2233,33.7898]",0.03
PCL,2023-07-20,2023-07-20 15:00:00,2023-07-22,2023-07-22 5:00:00,38,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Florence, NJ","[-74.7863, 40.0967]",0.07
PCL,2023-08-09,2023-08-09 16:00:00,2023-08-11,2023-08-11 11:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Lugoff, SC","[-80.6973,34.2113]",0.05
PCL,2023-09-05,2023-09-05 19:00:00,2023-09-07,2023-09-07 8:00:00,37,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ottawa, KS","[-95.2636,38.5996]",0.03
PCL,2023-07-20,2023-07-20 11:00:00,2023-07-24,2023-07-24 12:00:00,97,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Mc Calla, AL","[-87.0140, 33.3451]",0
PCL,2023-09-06,2023-09-06 15:00:00,2023-09-08,2023-09-08 10:00:00,43,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Bloomington, CA","[-117.4013,34.0601]",0.13
LTL,2023-08-22,2023-08-22 17:00:00,2023-08-29,2023-08-29 7:00:00,158,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Aurora, CO","[-104.7237,39.7083]",0.21
LTL,2023-08-25,2023-08-25 13:00:00,2023-08-29,2023-08-29 15:00:00,98,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Mcgregor, TX","[-97.4283,31.4186]",1.94
PCL,2023-07-21,2023-07-21 13:00:00,2023-07-25,2023-07-25 10:00:00,93,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Marcy, NY","[-75.268,43.1373]",0.01
PCL,2023-08-14,2023-08-14 13:00:00,2023-08-15,2023-08-15 7:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Greenfield, IN","[-85.7738,39.7937]",0.06
PCL,2023-10-10,2023-10-10 9:00:00,2023-10-16,2023-10-16 20:00:00,155,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Chesapeake, VA","[-76.3023,36.6778]",0.52
PCL,2023-08-17,2023-08-17 9:00:00,2023-08-18,2023-08-18 14:00:00,29,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Apple Valley, CA","[-117.2109,34.5352]",0.11
PCL,2023-09-05,2023-09-05 15:00:00,2023-09-12,2023-09-12 6:00:00,159,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"St. James, MO","[-91.6154,38.0013]",0.04
PCL,2023-08-01,2023-08-01 13:00:00,2023-08-02,2023-08-02 9:00:00,20,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Moreno Valley, CA","[-117.2045,33.9244]",0.02
PCL,2023-10-26,2023-10-26 15:00:00,null,null,#VALUE!,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Grove City, OH","[-83.069,39.8654]",0.01
LTL,2023-07-13,2023-07-13 14:00:00,2023-07-19,2023-07-19 4:00:00,134,"Carol Stream, IL","[-88.1307,41.9181]",TD Synnex Corporation,"Romeoville, IL","[-88.0997,41.6318]",1
LTL,2023-07-19,2023-07-19 16:00:00,2023-07-24,2023-07-24 10:00:00,114,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot.com,"Perris, CA","[-117.2233,33.7898]",2.04
PCL,2023-08-16,2023-08-16 14:00:00,2023-08-18,2023-08-18 9:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Midway, TN","[-82.9962, 36.1766]",0.06
PCL,2023-07-07,2023-07-07 12:00:00,2023-07-11,2023-07-11 12:00:00,96,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.03
PCL,2023-09-06,2023-09-06 11:00:00,2023-09-08,2023-09-08 9:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Madison, AL","[-86.7626,34.7114]",0.05
PCL,2023-10-18,2023-10-18 16:00:00,2023-10-19,2023-10-19 11:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.03
PCL,2023-10-26,2023-10-26 14:00:00,2023-11-03,2023-11-03 0:00:00,178,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"La Grange, GA","[-85.0322, 33.0362]",0.01
LTL,2023-07-20,2023-07-20 15:00:00,2023-07-25,2023-07-25 14:00:00,119,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Mcgregor, TX","[-97.4283,31.4186]",4.13
PCL,2023-07-11,2023-07-11 17:00:00,2023-07-14,2023-07-14 18:00:00,73,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Somerset, NJ","[-74.501,40.5083]",0.01
PCL,2023-09-20,2023-09-20 12:00:00,2023-09-22,2023-09-22 7:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Gansevoort, NY","[-73.6518, 43.1962]",0.07
PCL,2023-10-17,2023-10-17 13:00:00,2023-10-19,2023-10-19 6:00:00,41,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Searcy, AR","[-91.7351,35.2418]",0.01
PCL,2023-10-18,2023-10-18 16:00:00,2023-10-20,2023-10-20 12:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Newton, NC","[-81.2335,35.663]",0.04
PCL,2023-09-05,2023-09-05 17:00:00,2023-09-07,2023-09-07 6:00:00,37,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.01
PCL,2023-07-11,2023-07-11 13:00:00,2023-07-14,2023-07-14 8:00:00,67,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Spring Valley, IL","[-89.2038,41.3362]",0.02
PCL,2023-10-05,2023-10-05 8:00:00,2023-10-06,2023-10-06 6:00:00,22,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",0.73
LTL,2023-08-24,2023-08-24 14:00:00,2023-08-30,2023-08-30 13:00:00,143,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Shafter, CA","[-119.2013,35.4794]",0.77
PCL,2023-07-01,2023-07-01 9:00:00,2023-07-06,2023-07-06 8:00:00,119,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.01
PCL,2023-08-31,2023-08-31 12:00:00,2023-09-05,2023-09-05 13:00:00,121,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Menomonie, WI","[-91.9084,44.8893]",0.01
PCL,2023-07-21,2023-07-21 14:00:00,2023-07-24,2023-07-24 5:00:00,63,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Greenwood, IN","[-86.1073,39.6019]",0.45
PCL,2023-10-23,2023-10-23 17:00:00,2023-10-30,2023-10-30 20:00:00,171,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Tobyhanna, PA","[-75.4179, 41.1798]",0.01
LTL,2023-07-05,2023-07-05 12:00:00,2023-07-10,2023-07-10 9:00:00,117,"Carol Stream, IL","[-88.1307,41.9181]",JW Mobile LLC,"Brooklyn, NY","[-73.9496,40.6501]",1.27
LTL,2023-10-25,2023-10-25 22:00:00,2023-10-26,2023-10-26 23:00:00,25,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Joliet, IL","[-88.1499,41.5188]",0.27
LTL,2023-10-18,2023-10-18 13:00:00,2023-10-23,2023-10-23 15:00:00,122,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Albany, OR","[-123.0965,44.6272]",0.39
PCL,2023-07-05,2023-07-05 13:00:00,2023-07-07,2023-07-07 9:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.01
PCL,2023-07-20,2023-07-20 15:00:00,2023-07-24,2023-07-24 8:00:00,89,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Fridley, MN","[-93.2595,45.0841]",0.03
PCL,2023-07-27,2023-07-27 14:00:00,2023-08-01,2023-08-01 9:00:00,115,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.03
PCL,2023-07-11,2023-07-11 12:00:00,2023-07-12,2023-07-12 10:00:00,22,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Watsco (Baker-Florida Cooling Supply),"Fresno, CA","[-119.7939,36.783]",0.04
PCL,2023-07-26,2023-07-26 8:00:00,2023-07-28,2023-07-28 9:00:00,49,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Madison, AL","[-86.7626,34.7114]",0.14
PCL,2023-08-08,2023-08-08 14:00:00,2023-08-10,2023-08-10 11:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Tobyhanna, PA","[-75.4179, 41.1798]",0.06
PCL,2023-10-18,2023-10-18 11:00:00,2023-10-20,2023-10-20 7:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midlothian, TX","[-96.989,32.4669]",0.02
PCL,2023-08-03,2023-08-03 12:00:00,2023-08-07,2023-08-07 7:00:00,91,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Loveland, CO","[-105.0623,40.4166]",0.04
PCL,2023-08-08,2023-08-08 13:00:00,2023-08-10,2023-08-10 9:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hope Mills, NC","[-78.9597,34.971]",0.02
PCL,2023-09-01,2023-09-01 17:00:00,2023-09-07,2023-09-07 11:00:00,138,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Lugoff, SC","[-80.6973,34.2113]",0.06
PCL,2023-09-08,2023-09-08 15:00:00,2023-09-13,2023-09-13 11:00:00,116,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.08
PCL,2023-09-26,2023-09-26 12:00:00,2023-09-28,2023-09-28 9:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.11
PCL,2023-10-05,2023-10-05 15:00:00,2023-10-10,2023-10-10 18:00:00,123,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Somerset, NJ","[-74.501,40.5083]",0.02
PCL,2023-07-11,2023-07-11 14:00:00,2023-07-14,2023-07-14 13:00:00,71,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Phoenix, AZ","[-112.0892,33.5722]",0.01
PCL,2023-09-08,2023-09-08 11:00:00,2023-09-11,2023-09-11 7:00:00,68,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Fort Worth, TX","[-97.3474,32.7817]",0.05
PCL,2023-08-03,2023-08-03 15:00:00,2023-08-04,2023-08-04 10:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Carol Stream, IL","[-88.1307,41.9181]",0.05
PCL,2023-08-15,2023-08-15 10:00:00,2023-08-17,2023-08-17 8:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Plant City, FL","[-82.1201,28.014]",0.05
PCL,2023-09-26,2023-09-26 13:00:00,2023-09-28,2023-09-28 7:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midlothian, TX","[-96.989,32.4669]",0.07
PCL,2023-10-06,2023-10-06 8:00:00,2023-10-06,2023-10-06 7:00:00,-1,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Greenwood, IN","[-86.1073,39.6019]",0.01
PCL,2023-08-29,2023-08-29 14:00:00,2023-08-31,2023-08-31 10:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sealy, TX","[-96.163,29.7662]",0.01
PCL,2023-07-13,2023-07-13 17:00:00,2023-07-18,2023-07-18 5:00:00,108,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Tewksbury, MA","[-71.2342, 42.6106]",0.01
PCL,2023-08-28,2023-08-28 11:00:00,2023-08-30,2023-08-30 5:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midlothian, TX","[-96.989,32.4669]",0.07
PCL,2023-10-11,2023-10-11 16:00:00,2023-10-13,2023-10-13 15:00:00,47,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Red Bluff, CA","[-122.2413,40.1735]",0.03
PCL,2023-08-22,2023-08-22 12:00:00,2023-08-24,2023-08-24 8:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Brookhaven, MS","[-90.4432,31.5803]",0.07
PCL,2023-09-25,2023-09-25 7:00:00,2023-09-26,2023-09-26 14:00:00,31,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Apple Valley, CA","[-117.2109,34.5352]",0.04
PCL,2023-07-19,2023-07-19 13:00:00,2023-07-21,2023-07-21 8:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.08
PCL,2023-09-13,2023-09-13 11:00:00,2023-09-14,2023-09-14 6:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Coldwater, MI","[-84.9989,41.9465]",0.04
PCL,2023-07-18,2023-07-18 11:00:00,2023-07-24,2023-07-24 10:00:00,143,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"La Grange, GA","[-85.0322, 33.0362]",0.06
PCL,2023-10-03,2023-10-03 13:00:00,2023-10-05,2023-10-05 11:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Mount Crawford, VA","[-78.9413,38.3601]",0.09
PCL,2023-07-25,2023-07-25 12:00:00,2023-08-04,2023-08-04 0:00:00,228,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Cullman, AL","[-86.8407,34.1775]",0.01
PCL,2023-10-18,2023-10-18 18:00:00,2023-10-25,2023-10-25 14:00:00,164,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Menomonie, WI","[-91.9084,44.8893]",0.01
LTL,2023-08-14,2023-08-14 15:00:00,2023-08-17,2023-08-17 8:00:00,65,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",0.23
LTL,2023-09-22,2023-09-22 15:00:00,2023-09-27,2023-09-27 5:00:00,110,"Carol Stream, IL","[-88.1307,41.9181]",TD Synnex Corporation,"Monroe Township, NJ","[-74.4330, 40.3364]",2.91
PCL,2023-08-29,2023-08-29 10:00:00,2023-08-31,2023-08-31 10:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Fontana, CA","[-117.4599,34.0968]",0.02
PCL,2023-09-13,2023-09-13 14:00:00,2023-09-15,2023-09-15 14:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Gansevoort, NY","[-73.6518, 43.1962]",0.1
PCL,2023-07-27,2023-07-27 11:00:00,2023-07-31,2023-07-31 8:00:00,93,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Pueblo, CO","[-104.6114,38.2701]",0.01
PCL,2023-10-13,2023-10-13 12:00:00,2023-10-19,2023-10-19 8:00:00,140,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Ingram Micro Inc,"Hazle Township, PA","[-76.0276, 40.9568]",0.19
PCL,2023-08-08,2023-08-08 17:00:00,2023-08-11,2023-08-11 7:00:00,62,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Florence, NJ","[-74.7863, 40.0967]",0.01
PCL,2023-09-19,2023-09-19 13:00:00,2023-09-21,2023-09-21 10:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.05
LTL,2023-10-06,2023-10-06 14:00:00,2023-10-12,2023-10-12 14:00:00,144,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tyler, TX","[-95.3062,32.3184]",0.19
LTL,2023-09-12,2023-09-12 12:00:00,2023-09-18,2023-09-18 3:00:00,135,"Carol Stream, IL","[-88.1307,41.9181]",Ingram Micro Inc,"Hazle Township, PA","[-76.0276, 40.9568]",1.71
LTL,2023-10-26,2023-10-26 13:00:00,2023-11-02,2023-11-02 0:00:00,155,"Rancho Cucamonga, CA","[-117.5667,34.1247]",ADT - US,"Springville, UT","[-111.6205,40.1638]",4.5
PCL,2023-08-10,2023-08-10 15:00:00,2023-08-11,2023-08-11 6:00:00,15,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Northlake, IL","[-87.9054,41.9142]",0.04
PCL,2023-08-15,2023-08-15 15:00:00,2023-08-18,2023-08-18 8:00:00,65,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.01
LTL,2023-09-28,2023-09-28 18:00:00,2023-10-04,2023-10-04 15:00:00,141,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.09
LTL,2023-10-10,2023-10-10 13:00:00,2023-10-12,2023-10-12 15:00:00,50,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.06
PCL,2023-08-02,2023-08-02 10:00:00,2023-08-04,2023-08-04 10:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Lugoff, SC","[-80.6973,34.2113]",0.06
PCL,2023-09-06,2023-09-06 11:00:00,2023-09-08,2023-09-08 7:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Gansevoort, NY","[-73.6518, 43.1962]",0.09
PCL,2023-08-16,2023-08-16 17:00:00,2023-08-21,2023-08-21 12:00:00,115,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot.com,"Tracy, CA","[-121.4523,37.7269]",0.04
PCL,2023-08-29,2023-08-29 15:00:00,2023-09-05,2023-09-05 6:00:00,159,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"New Braunfels, TX","[-98.1148,29.6994]",0.02
PCL,2023-10-20,2023-10-20 14:00:00,2023-10-23,2023-10-23 10:00:00,68,"Carol Stream, IL","[-88.1307,41.9181]",Vertex Wireless LLC,"West Chicago, IL","[-88.2253,41.896]",4.88
LTL,2023-08-16,2023-08-16 19:00:00,2023-08-18,2023-08-18 11:00:00,40,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Coldwater, MI","[-84.9989,41.9465]",0.26
LTL,2023-08-23,2023-08-23 16:00:00,2023-08-30,2023-08-30 4:00:00,156,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Columbus, OH","[-82.9855,39.9862]",0.69
LTL,2023-10-09,2023-10-09 17:00:00,2023-10-11,2023-10-11 14:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.42
PCL,2023-07-28,2023-07-28 12:00:00,2023-08-01,2023-08-01 11:00:00,95,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.05
PCL,2023-07-05,2023-07-05 11:00:00,null,null,#VALUE!,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Dallas, TX","[-96.7667,32.7935]",0
PCL,2023-08-22,2023-08-22 19:00:00,2023-08-24,2023-08-24 12:00:00,41,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Van Buren, OH","[-83.6494,41.1387]",0.07
PCL,2023-07-27,2023-07-27 12:00:00,2023-08-02,2023-08-02 7:00:00,139,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Hopkinsville, KY","[-87.4775,36.8381]",0.1
